otm_code,genus,species,cultivar,other,common_name
ULRU,Ulmus,rubra,,,Slippery elm
ULS,Ulmus,,,,Elm
ULSE,Ulmus,serotina,,,September elm
ULTH,Ulmus,thomasii,,,Rock elm
ULX,Ulmus,x,,,Hybrid elm
UMCA,Umbellularia,californica,,,California laurel
VEME,Veitchia,merrillii,,,Manila palm
VI5,Vitex,,,,Chaste tree
VIAG,Vitex,agnus-castus,,,Chaste tree
VIJA,Viburnum,japonicum,,,Japanese viburnum
VILU6,Vitex,lucens,,,Puriri
VIOD,Viburnum,odoratissimum,,,Sweet viburnum
VIPA6,Vitex,parviflora,,,Molave
VIPR,Viburnum,prunifolium,,,Black haw
VISP2,Viburnum,,,,Viburnum
VITI2,Viburnum,tinus,,,Laurustinus
WAFI,Washingtonia,filifera,,,California palm
WARO,Washingtonia,robusta,,,Mexican washingtonia
WIFL,Wisteria,floribunda,,,Japanese wisteria
WISI,Wisteria,sinensis,,,Purple wisteria
WOBI2,Wodyetia,bifurcata,,,Foxtail palm
XYCO,Xylosma,congestum,,,Shiny xylosma
YU1,Yucca,,,,Yucca
YUAL,Yucca,aloifolia,,,Aloe yucca
YUGL2,Yucca,gloriosa,,,Moundlily yucca
YUGU,Yucca,guatemalensis,,,Bluestem yucca
YURE,Yucca,recurvifolia,,,Curveleaf yucca
YUTO,Yucca,torreyi,,,Torrey yucca
ZE,Zelkova,,,,Zelkova
ZESE,Zelkova,serrata,,,Japanese zelkova
ZESE_V,Zelkova,serrata,Village Green,,Japanese zelkova 'Village Green'
